id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
15420,Georgian Boutique Apt City Centre,60423,Charlotte,,"Old Town, Princes Street and Leith Street",55.95759,-3.18805,Entire home/apt,109,3,609,2025-03-02,3.54,1,64,66,
24288,"Cool central Loft, sleeps 4, 2 double bed+en-suite",46498,Gordon,,"Canongate, Southside and Dumbiedykes",55.94498320836646,-3.185293348616568,Entire home/apt,90,3,369,2025-02-21,2.09,1,150,57,
38628,Edinburgh Holiday Let,165635,Trish,,Joppa,55.94215,-3.0964,Entire home/apt,99,4,75,2024-12-17,0.57,1,225,2,EH-70886-F
51505,Superb City Centre Apartment,236828,Francois,,New Town West,55.9548,-3.19641,Entire home/apt,128,3,105,2025-02-20,0.60,14,13,45,
54188,The Four Sisters Boatel,253850,Natalie,,Dalry and Fountainbridge,55.94217,-3.20863,Entire home/apt,378,1,36,2022-07-03,0.24,3,169,0,
55881,Lovely central apartment sleeps 5,264345,Susie,,Hillside and Calton Hill,55.95935,-3.17713,Entire home/apt,208,2,332,2023-09-03,1.96,1,66,0,
58682,Beautiful Apartment in Edinburgh,281109,Rona,,Comely Bank,55.95508,-3.21625,Entire home/apt,270,4,190,2025-01-26,1.36,2,116,27,EH-67902-F
97472,"PERFECT LOCATION,FREE PARKING,WIFI",486859,Alan,,Morningside,55.93,-3.20995,Entire home/apt,75,300,36,2021-08-30,0.22,1,216,0,
112625,"Epicurean Clerk - Huge, Central",574430,Michele,,Meadows and Southside,55.93865,-3.1794,Entire home/apt,278,3,198,2024-12-02,1.19,1,59,31,EH-69283-F
118314,Vibrant Cottage Style Flat Near Leith Links Park,597415,Daniela,,Leith (Hermitage and Prospect Bank),55.96814,-3.16032,Entire home/apt,174,2,263,2025-02-23,1.57,20,334,22,EH-83846-F
122930,Explore the Royal Mile from a City View Apartment,615381,James,,Meadowbank and Abbeyhill North,55.95851,-3.17078,Entire home/apt,84,4,912,2025-03-03,5.57,2,245,66,EH-69876-F
142356,NewTown Heart of the Burgh - Studio,691610,Simon,,New Town West,55.95743,-3.20036,Entire home/apt,80,30,58,2023-08-31,0.35,1,169,0,
163870,Stunning 2 bedroom flat @ the Shore,129153119,Anne,,The Shore and Constitution Street,55.97613,-3.16979,Entire home/apt,92,3,376,2025-02-23,2.27,1,22,76,512373IRO
170756,Guest-room in Central Penthouse,278168,Maureen,,Tollcross,55.94355,-3.20853,Private room,73,1,654,2025-02-19,3.99,1,0,94,101002079871/ 510644
177944,Nice Central Double room including basic breakfast,851172,Zeb David,,Leith (Albert Street),55.961548,-3.171129,Private room,68,3,42,2024-10-07,0.25,13,0,3,EH-70560-F
180429,Bright Central Double room including Breakfast,851172,Zeb David,,Leith (Albert Street),55.961548,-3.171129,Private room,167,2,76,2023-05-21,0.46,13,181,0,EH-70560-F
214571,Awesome location on High Street,1107698,Michael,,"Old Town, Princes Street and Leith Street",55.94909,-3.19033,Entire home/apt,219,2,392,2024-12-29,2.44,1,194,48,
229494,Large Room in Quirky Wee Apartment - Arthur's Seat,1198626,Sally,,Newington and Dalkeith Road,55.94232,-3.17771,Private room,62,2,676,2025-03-03,4.14,1,227,42,
233839,Double bedroom in central Edinburgh,992589,Angie,,Drylaw,55.96401,-3.24772,Private room,29,2,465,2025-01-04,3.09,1,127,43,
256783,Double Room in Central Edinburgh. Private Shower,273097,Lyn,,Newington and Dalkeith Road,55.93966,-3.1769,Private room,90,2,409,2024-12-16,2.52,1,191,40,EH-68485-F
291560,Lovely Apartment 5 Mins from Castle,1510582,Vroni,,Tollcross,55.94432,-3.20251,Entire home/apt,,1,8,2019-07-15,0.05,2,0,0,
307715,Beside The Castle with great views,1583173,Yvonne,,"Old Town, Princes Street and Leith Street",55.94877,-3.19564,Entire home/apt,425,3,215,2024-08-19,1.36,1,88,5,
317080,Lovely Big Room 5 Min from Castle,1510582,Vroni,,Tollcross,55.94302,-3.20228,Private room,,5,142,2025-03-06,0.89,2,0,16,
327161,Drummond apt in the heart of Edinburgh's Old Town!,1672688,Maggie,,"Old Town, Princes Street and Leith Street",55.94771,-3.18458,Entire home/apt,276,3,96,2024-12-29,0.64,1,49,15,EH-69129-F
340452,"Bright, quiet & central - 1 block from tram stop",1727489,Roland,,Hillside and Calton Hill,55.95956,-3.18015,Entire home/apt,108,2,849,2025-02-26,5.37,1,15,74,
355938,Parliament Square - Royal Mile,1801836,Shahid,,"Old Town, Princes Street and Leith Street",55.94929,-3.18991,Entire home/apt,215,2,195,2025-02-16,1.25,4,194,37,EH-70294-F
361050,Large room in disabled friendly flat - Bruntsfield,1825119,Anne,,Bruntsfield,55.93995,-3.20736,Private room,72,5,109,2025-03-01,0.70,1,61,12,EH-71217-F
388297,Home from home by Holyrood Park -parking & garden!,1942840,Yvonne,,Willowbrae and Duddingston Village,55.95271,-3.14898,Entire home/apt,203,4,111,2024-08-26,0.72,3,137,10,101002084244
389318,"City centre. Walk to Castle, Museum etc. Own bath.",1947854,Rona,,Meadows and Southside,55.94313,-3.1808,Private room,85,2,504,2024-09-11,3.20,1,1,48,EH-67559-F
391558,"City centre, lovely reviews, near tram & train.",1958301,Joanne,,"Old Town, Princes Street and Leith Street",55.95758,-3.18844,Entire home/apt,166,4,116,2024-11-25,0.76,1,104,23,EH-69027-F
391610,"Ensuite quiet, elegant double in traditional area",1958560,Harriet,,Shandon,55.93106,-3.23188,Private room,,3,636,2025-03-03,4.03,1,0,59,Licence number EH-68562-F
405790,Writers View - Royal Mile near Castle,1947266,John,,"Old Town, Princes Street and Leith Street",55.95006,-3.19234,Entire home/apt,125,3,128,2025-02-27,0.87,1,27,15,EH-70128-F
