full_address,lon,lat
"13 Broomhall Avenue, Broomhall, Edinburgh, EH12 7NA",-3.2777574,55.9341389
"21 Broomhouse Crescent, Broomhouse, Edinburgh, EH11 3TE",-3.2769776999999998,55.9265265
"61 Cavalry Park Drive, Duddingston, Edinburgh, EH15 3QG",-3.1375926,55.9386734
"Flat 7, 37 Orchard Brae Avenue, Craigleith, Edinburgh, EH4 2UP",-3.2252918,55.9551884
"1f1, 16 West Newington Place, Newington, Edinburgh, EH9 1QU",-3.1793827,55.9381269
"1f2, 105 Buccleuch Street, Southside, Edinburgh, EH8 9NG",-3.1838763,55.9419766
"2f1, 17 Richmond Terrace, Dalry, Edinburgh, EH11 2BY",-3.2165223,55.9441515
"Flat 4, 54 St Mary's Street, Old Town, Edinburgh, EH1 1SX",-3.1833353,55.9495628
"Flat 4, 72 Rose Street South Lane, New Town, Edinburgh, EH2 3JG",-3.2006281,55.9520226
"Flat 8, 30 Lady Lawson Street, Old Town, Edinburgh, EH3 9DS",-3.2012827,55.9461916
"1f1, 6 Buccleuch Terrace, Newington, Edinburgh, EH8 9ND",-3.1824466,55.9415231
"3f2, 17 Bothwell Street, Leith, Edinburgh, EH7 5PX",-3.1691345,55.9605328
"3f2, 54 Shandwick Place, New Town, Edinburgh, EH2 4RT",-3.2101138,55.9494129
"6/8, Lochview Court, Dumbiedykes Road, Dumbiedykes, Edinburgh, EH8 8AR",-3.1780868,55.9484051
"7 Falcon Gardens, Morningside, Edinburgh, EH10 4AP",-3.2052721,55.9306324
"Flat 3, 2 Brown's Close, Old Town, Edinburgh, EH8 8BT",-3.1769325999999998,55.9523772
"Flat 9, 35 Lothian Street, Old Town, Edinburgh, EH1 1HE",-3.1887844,55.9464508
"3f2, 21 Meadowbank Crescent, Willowbrae, Edinburgh, EH8 7AJ",-3.155654,55.9546347
"Flat 12, 4 Colonsay View, Granton, Edinburgh, EH5 1FH",-3.2522064,55.9777497
"Flat 9, 2 Haig Lane, Bonnington, Edinburgh, EH6 5GA",-3.1845399,55.9709182
"Pf3, 20 Waverley Park, Abbeyhill, Edinburgh, EH8 8ET",-3.1677594,55.9541717
"2f, 1 Cambridge Street, Old Town, Edinburgh, EH1 2DY",-3.2048488,55.9480726
"2f, 224 Bruntsfield Place, Bruntsfield, Edinburgh, EH10 4DE",-3.2102603,55.9350284
"2f1, 37 Warrender Park Road, Marchmont, Edinburgh, EH9 1HJ",-3.1945344,55.9384023
"3f3, 3 Thorntree Street, Leith, Edinburgh, EH6 8PY",-3.1714431,55.9679378
"1 Pirniefield Bank, Lochend, Edinburgh, EH6 7QQ",-3.1497875,55.9686962
"12 Young Street South Lane, New Town, Edinburgh, EH2 4JF",-3.2061155,55.9526233
"1f1, 3 Gillespie Place, Bruntsfield, Edinburgh, EH10 4HS",-3.2037174999999998,55.9408267
"1f2, 90 Raeburn Place, Stockbridge, Edinburgh, EH4 1HH",-3.2134538,55.9592234
"2 East Preston Street, Newington, Edinburgh, EH8 9QA",-3.1791761,55.9392706
"2f, 42 Moray Place, New Town, Edinburgh, EH3 6BT",-3.2084061,55.9538616
"2f, 6 Eton Terrace, Stockbridge, Edinburgh, EH4 1QE",-3.2135537,55.9544599
"2f2, 17 Cheyne Street, Stockbridge, Edinburgh, EH4 1JA",-3.212719,55.9585502
"36 Sciennes, Edinburgh, EH9 1NJ",-3.182467,55.9382812
"40 Northumberland Street, New Town, Edinburgh, EH3 6JA",-3.1996079,55.9566765
"Flat 11, 87 East London Street, Broughton, Edinburgh, EH7 4BQ",-3.186055,55.9601066
"Flat 5, 25 Simpson Loan, Southside, Edinburgh, EH3 9GE",-3.1919383,55.943498
"1f2, 81 Henderson Row, Stockbridge, Edinburgh, EH3 5BE",-3.2044342,55.9599822
"21 Rutland Street, West End, Edinburgh, EH1 2AE",-3.2084227,55.9493502
"3f, 2 Warden's Close, Old Town, Edinburgh, EH1 2HJ",-3.1939107,55.9475554
"3f1, 75 Montgomery Street, Hillside, Edinburgh, EH7 5HZ",-3.1794542,55.9594902
"42 Buckstone Crescent, Buckstone, Edinburgh, EH10 6PR",-3.2017312,55.9092562
"6 Canon Lane, Broughton, Edinburgh, EH3 5HD",-3.1998443,55.9619376
"Flat 14, 43 Viewcraig Gardens, Dumbiedykes, Edinburgh, EH8 9UW",-3.1797562,55.9470337
"Flat 2, 67 Milligan Drive, Greendykes, Edinburgh, EH16 4XD",-3.1188828,55.9251242
"Flat 3, 5 Hartington Place, Viewforth, Edinburgh, EH10 4LF",-3.2107503,55.9384044
"Flat 3, 72 Rose Street South Lane, New Town, Edinburgh, EH2 3JG",-3.2006281,55.9520226
"Flat 3, 8 Atholl Crescent, West End, Edinburgh, EH3 8HA",-3.2112702,55.9482427
"143 Buccleuch Street, Southside, Edinburgh, EH8 9NE",-3.1832428999999998,55.9414566
"1f1, 18 Dundonald Street, New Town, Edinburgh, EH3 6RY",-3.1966897,55.9593082
"1f3, 1 Lochrin Terrace, Tollcross, Edinburgh, EH3 9QJ",-3.2041456,55.9430355
"21 West Mayfield, Newington, Edinburgh, EH9 1TQ",-3.1755789,55.9334498
"24 Belvedere Park, Newhaven, Edinburgh, EH6 4LR",-3.1966423,55.9781129
"24 Hopetoun Crescent, Broughton, Edinburgh, EH7 4AY",-3.1828187,55.9619551
"2f3, 25 Dalmeny Street, Leith, Edinburgh, EH6 8PG",-3.1747752,55.9650036
"3b Dublin Street Lane South, Broughton, Edinburgh, EH1 3PX",-3.1905834,55.956862
"3f1, 10 Royal Crescent, Broughton, Edinburgh, EH3 6PZ",-3.1965028,55.959653
"3f3, 21 Jeffrey Street, Old Town, Edinburgh, EH1 1DR",-3.1847051,55.9511137
"Flat 3, 138 Newhaven Road, Newhaven, Edinburgh, EH6 4NR",-3.1900898,55.9750751
"Flat 6, 5 Bonnington Road Lane, Bonnington, Edinburgh, EH6 5BJ",-3.1833355,55.9706208
"Flat 7, 72 Rose Street South Lane, New Town, Edinburgh, EH2 3JG",-3.2006281,55.9520226
"Flat 8, 72 Rose Street South Lane, New Town, Edinburgh, EH2 3JG",-3.2006281,55.9520226
"Pf2, 260 Marionville Road, Meadowbank, Edinburgh, EH7 6BQ",-3.1559267,55.9591757
"1f2, 29 Henderson Gardens, North Leith, Edinburgh, EH6 6BX",-3.1732014,55.9737265
"2f4, 81 Henderson Row, Stockbridge, Edinburgh, EH3 5BE",-3.2044342,55.9599822
"3f3, 12 Oxford Street, Newington, Edinburgh, EH8 9PJ",-3.1776151,55.9398178
"3f3, 98 East Claremont Street, Broughton, Edinburgh, EH7 4JZ",-3.1905554,55.9638925
